num_hash,search_dt,status_verify_yn,device_none_network_count_1m,device_wifi_network_count_1m,device_mobile_network_count_1m,device_none_network_count_6m,device_wifi_network_count_6m,device_mobile_network_count_6m
26af5b34731ca6f7e983bd4f90a72c581863da143db053dc81036f01965ed93e,2022-05-01,True,,17.0,,,93.0,
f74ce4a9df48fa844b2146dd68e3232759a8cc8a7c5b19b3c5194cdf06bc5678,2022-05-01,True,,65.0,,7.0,303.0,37.0
945977bfbfcf014604f50d212f23ae01ce2248a136ad37e3ccbeff6f4e6f0cec,2022-05-01,True,,61.0,13.0,,331.0,13.0
f135dcd124562759dbe6cc6f9eae2af6525e28bbd133d326810a8664295137a6,2022-05-01,True,,,,21.0,85.0,245.0
0c3a5576190b74aeddc7671f882a1e57e5db607d704b4e620b0d2ff19f8eac72,2022-05-01,True,,35.0,57.0,7.0,185.0,279.0
4ad956f921edcc8d614bdbc4699cf5d5d2b4144d2075019566dbfb1fb5111b63,2022-05-01,True,,,,,127.0,
18f0bbf3b7de2f70b02b71e760528e3d92530f309fe63617f2f8308cdf0baab3,2022-05-01,True,7.0,59.0,13.0,13.0,251.0,167.0
8c8f1c8690ff72a006e9f3241ba131531b32be0547e025391db687a652e1eee7,2022-05-01,True,,,,,,
3a45611036bc0ca7e3a67ef6d75563ef63617de32cd0b6671547ee8ab5dcc2f3,2022-05-01,True,,55.0,63.0,,307.0,339.0
54a7fb56f3522376163a82fdebad403a6506eda2392714ac176a51bccebe9358,2022-05-01,True,,,,,,
28d0f229e8856a465be0a81237b6fceabb33f1c54fddfd635137031e3d4cd084,2022-05-01,True,,,,,,
3dbc9dc15c12cf95a8aa362d132d19e50d2118976fc8e55d69c097383cdb1dc3,2022-05-01,True,,,,,,
daac7ec8458c78375b2a187ceb4a8c7852c39d6f7449f9cc067e9f5f24ca9bd4,2022-05-01,True,,13.0,61.0,,29.0,323.0
6f17f818e829fba073b60ed7b141c38c092b0800cab36b1ea61434268319e568,2022-05-01,True,,,,,,
80f16d57539e624752f914e4df2efd411f0204e47958a5d5e2f1244ebb67f556,2022-05-01,True,,,,,,
