query,input_file,mode,n_profiles,t_elapsed-avg,t_elapsed-std,peak_mem_usage-avg,peak_mem_usage-std,cpu_power-avg,cpu_power-std,gpu_power-avg,gpu_power-std,ram_power-avg,ram_power-std
"[groupby] int_f0 mean min, float_f0 mean, float_f1 min by str_id0 str_id_hc",./data/raw/synthetic/groupby_1e7_100.parquet,pandas,5,6.38405002458021,0.2271005635808493,473.06875,140.83439667345812,32.5,0.0,18.9162,0.2191286380188574,0.4291723251342773,0.0628651750404578
"[groupby] int_f0 mean min, float_f0 mean, float_f1 min by str_id0 str_id_hc",./data/raw/synthetic/groupby_1e7_100.parquet,modin,5,8.954082724219187,0.0838428987341331,227.86171875,71.49921975303624,32.5,0.0,23.0556,3.633626871322921,0.9293051719665528,0.0775782622181753
"[groupby] int_f0 mean min, float_f0 mean, float_f1 min by str_id0 str_id_hc",./data/raw/synthetic/groupby_1e7_100.parquet,vaex,5,8.462829468003473,0.0618138276351186,2478.1125,338.2511975085481,32.5,0.0,18.9826,0.1702922194347113,1.3248209953308103,0.1845240506729695
"[groupby] int_f0 mean min, float_f0 mean, float_f1 min by str_id0 str_id_hc",./data/raw/synthetic/groupby_1e7_100.parquet,polars,5,2.020302021387033,0.0595515285285318,920.9234375,124.14668788785865,32.5,0.0,19.9594,1.937218273711045,0.6462553024291993,0.047414581589477
"[groupby] int_f0 mean min, float_f0 mean, float_f1 min by str_id0 str_id_hc",./data/raw/synthetic/groupby_1e7_100.parquet,cudf,5,0.0795111853862181,0.002781173211799,0.221875,0.441799465343865,32.5,0.0,121.612,8.768435550313407,0.448667049407959,6.675447730908099e-05
"[groupby] int_f0 mean min, float_f0 mean, float_f1 min by str_id0 str_id_hc",./data/raw/synthetic/groupby_1e8_100.parquet,pandas,2,111.70595373446122,1.2982016034657136,7541.544921875,353.044921875,32.5,0.0,18.711,0.2569999999999997,2.7479946613311768,0.2774198055267334
"[groupby] int_f0 mean min, float_f0 mean, float_f1 min by str_id0 str_id_hc",./data/raw/synthetic/groupby_1e8_100.parquet,modin,2,170.26650725054787,0.39712177048204467,3042.9296875,0.4609375,32.5,0.0,21.1695,2.448500000000001,4.780733585357666,0.5007448196411133
