num_hash,search_dt,status_verify_yn,device_none_network_count_1m,device_wifi_network_count_1m,device_mobile_network_count_1m,device_none_network_count_6m,device_wifi_network_count_6m,device_mobile_network_count_6m
cee0438e9d9f6f434d2c82cee7b94bccd88bb7cbb03c6cc5337d4036093b68e5,2022-05-01,True,,55.0,17.0,,243.0,135.0
9dfcada8f0bd6c0b11681f49dc1cab257d11f10c2b53834f7526140fdb2a63ec,2022-05-01,True,,,,,,
610eaae5f3577655c2476c3124d54a8518d33b6a105864da130267465182e1fe,2022-05-01,True,,,,,,
ba807c7ef37f816f9c3380367b50a1f3c153e7032b0f8ea51796bafe94fec626,2022-05-01,True,,,,,,
2b3754df10b4498235bb74cd8d8234fe2267bc3fc296a58fec8fe79c2f553866,2022-05-01,True,,,,,,
da0a94301d1042a14f80e140c5846fc581525e09479725fd8ee4b2339b59962a,2022-05-01,True,,,,,,
bf926a390c2f9a43a653f916e3cb0b1841c957d8efadb4704801eb5f9863dfbe,2022-05-01,True,,,,,,
d48968527ff334fd89a94827b4865bf9ae26306cb0cb25061a618138ef089d5c,2022-05-01,True,,,,,,
8975fdd530897ff6df60b0326f021ee65e3825ad2fbed9fb576f212afa83bb06,2022-05-01,True,,,,,,
597fcdf8796e15883ae13f6206239d9e23dfee1935b37a172704af8e0652f405,2022-05-01,True,,,,,,
ade0fedac5c18922d0e9bc0132ea697d219d0772144af6099cafe79e620cc90e,2022-05-01,True,,,,,,
942ab25074a9dac167fad81a7dd97404c68dd2e6d165c58834db6b5eceaf7c48,2022-05-01,True,,,,,,
a0df2b2ebb5931148fd70b929b9a9750a4ef0040d9386e960cc5180aac5b094f,2022-05-01,True,17.0,65.0,,55.0,197.0,
e350e810747176dd6b46479e42135b5f732f52a78b1511618c5bdd88246c2ced,2022-05-01,True,,63.0,,7.0,361.0,9.0
eb8dbbc91da5f5cc1b0f42301bb70de1c02222ef051e78cb3672fa6083e005df,2022-05-01,True,,,,,,
42ce3168f62afd3918229db77b45efdfe4a7296a75727758072f1385807458f0,2022-05-01,True,,,,,,
e1b9929b488f41ae106ef5053874b86e201515d4ee889b63b81bfff8fd9d7b24,2022-05-01,True,,,,,,
99384f81ef805690a0f9b93c1e0f582e04fb6a3a701ffd7cfd30a8eb12dda6ad,2022-05-01,True,,33.0,47.0,7.0,255.0,245.0
4c7acbcfe5a01f9be9e7e0045a5df4defdc6f72eb259429bc9c14b1a23d2d88c,2022-05-01,True,,59.0,31.0,,349.0,127.0
2aaee5d6bf856f8c212b0fff67a89d7216d73f0ded725b8994ecb3f2b39a0fc7,2022-05-01,True,,65.0,21.0,9.0,363.0,155.0
0c6cab45eab1c9e3b2e66f014adffd7b72a3fd96e086a8aaf6f94830db147aac,2022-05-01,True,,31.0,43.0,,155.0,283.0
e5a8c6460b351e96f5ebaf8a094dec965bbec407ce47d009545837e673ba83a9,2022-05-01,True,,63.0,,,279.0,113.0
90ce002955b697e1a9d5b4a58236f1a8540692f78da0bab9c83c53098ca0b865,2022-05-01,True,,,,,,
979a1bda331f7f103c24e4d53d83315195a97a8c2076062c1806ccd91b3165c1,2022-05-01,True,,,,,,
a44f092943d9402ee34cda00fc6eecb27493b75061a0cfc9881244c6de70eb43,2022-05-01,True,,,,,,
43dfbe772ca9164b7628a14c2891c85740ccbc07c4ba97b775dc2eaa6ed77311,2022-05-01,True,,,,,,
9feed4ea65cf54e16738e81257cd712ecdd66ce1f8ef285d23b576bb9177e9fe,2022-05-01,True,,,,13.0,289.0,7.0
485fc99f9c5892743036cf537e40a0875e9e9e1be9efc6e0e3517cbdb12fae9b,2022-05-01,True,,63.0,,7.0,317.0,11.0
abc486a8ac298f90a6a03cba27d7d9be3fa47ecece96a7c71bf16a37cc4b8b76,2022-05-01,True,,,,,,
4f8bd848e0fe18c7ac76a2a0cc31e5bb6ae3432e9a20bd5c2fc0e856190ba678,2022-05-01,True,9.0,61.0,63.0,17.0,333.0,341.0
28713d56c46f1f6a27c034befe46980de8c7eae218039bb719a6e644f5dd9815,2022-05-01,True,,,,,,
82725adec1503d345c45e4bc141d0547732a858df54809adecf4bdfd20307d41,2022-05-01,True,,,,,,
a1e37a23f299ce20e323cef4c17133b59446ae9b77e0915b70ac354b6d7d984c,2022-05-01,True,,65.0,,,365.0,7.0
d95e98d8aa1de48dedb88089f9f4c341850179f0ac0e070e2307b8b4c73b9605,2022-05-01,True,,,,,,
fae43774ab44f06decf57f5d47287f077ff7bba4ec18f97f80ad9ff305870827,2022-05-01,True,,47.0,41.0,7.0,245.0,207.0
e0b2150c628087f05fe7ac75d8c533e48dd803ca3378ba59663088d78105e39e,2022-05-01,True,,,,,,
5819354d73821da484eaa516d4e200ae266d1f462d2ea9878114c5d74339772c,2022-05-01,True,,,,,,
eec3e8b24f8bec478f65a35e3b2f858231e41dea6366d6e9b8718ba87c45ebb3,2022-05-01,True,,65.0,33.0,,203.0,161.0
bd49ea08b94c709472dbee1606db688150453f18ed7a20e821d3b8659b6ed411,2022-05-01,True,,,,,,
5208a2bc27ee2002833e7ae4cad2858176f121ae41aac401769b6704fee80bdb,2022-05-01,True,,,,,43.0,219.0
7f54ffaba074b17b41133581b052f6dd13e1bd2a3c60ecabe768f534e801cb18,2022-05-01,True,,65.0,,7.0,365.0,
45f404f175b35f07d076b9fda3da53a530cafbe1ec1119fafc2e03a6c97232f8,2022-05-01,True,17.0,,65.0,79.0,39.0,355.0
58b312dec04bb2909fde6c5294d4ae2886ebbb62a3b83133a6a01c9b4099948f,2022-05-01,True,,,,,,
6f41bea304c0fa14730fd00f019c6803dc4a58353813200a5c123d4254f8627d,2022-05-01,True,,,,,,
def0b5f672fdcaf7b7eeb09828645da8112be5b53581cdbd41f89e0fab4d3b42,2022-05-01,True,,,,,,
23f9ad3b6bc5f19ab347677f2dd74d8b743a09041696ee7f2e0bdbdb5f4672b7,2022-05-01,True,,,,,,
6cc3174254d42f13503fdbcf0da8d42e7c815d5317315e73a5590b48373df292,2022-05-01,True,,11.0,11.0,,95.0,35.0
48daac6946d05d3c6c5f1b19143393ca275a37017b207dd301fe510302aee005,2022-05-01,True,,59.0,57.0,7.0,329.0,351.0
901b24812f721e5dda82dd2081200ec3a44d30960932c4df07555684062e03f8,2022-05-01,True,,,,,,
8387687ff391f6d012794e89d276e0458cf7df74f7d427966944e0da732d9ab1,2022-05-01,True,,,,,,
06e0745a8e24584dd2c367039d021ff72836152ff6209a64d03124c4a0da2ea8,2022-05-01,True,,59.0,,11.0,323.0,9.0
763971ba9068575e664c08fe090d933d53d95406185b87f26e07bd73efd0267e,2022-05-01,True,,61.0,13.0,,339.0,35.0
6c7afb441d2d4aa769bc9db478106d5230129a976940ca91f3a3d1319a258fa6,2022-05-01,True,,,,,,
1b34945a70f47c98b2fdaeb14b80701679e0d33b7c44e6a977aa6cf1b5cb6a19,2022-05-01,True,,,,,,
6da3082164a85d6771f39504f10026a63d910df443112938e880d164dc95ded5,2022-05-01,True,,65.0,9.0,,365.0,13.0
fb575c1bace483cfe69d9d4ce3784377715923e40dc4b001ce249c5910b5c274,2022-05-01,True,,,,,,7.0
84f9150580c4ddab477602a37680db12475c240b5b70c50af5d6278f7bd51600,2022-05-01,True,,,,,,
98531e96b1d4e2bd923c59f7fe090bb63e5cb88be3daca5a65dc08158e7a120a,2022-05-01,True,,,,,,
