type_code,x,y,lon,lat,name,poi_source,addr,addr_new,addr_to_num,etl_ts
K0201000,328348.81,2733362.2,121.77434,24.705338,二結站,poi_rawdata_r,宜蘭縣五結鄉三興村復興中路37號,宜蘭縣五結鄉復興中路37號,宜蘭縣五結鄉復興中路37號,2023-10-23 09:10:59.766025
K0104000,219142.88,2708218.06,120.695572,24.480006,福爾摩沙高速公路_146.5KM_南,poi_rawdata_r,苗栗縣通霄鎮平元里,苗栗縣通霄鎮平元里,苗栗縣通霄鎮平元里,2023-10-23 09:10:59.766025
K0102000,315142.92,2766920.62,121.645401,25.008919,石碇服務區(蔣渭水高速公路),poi_rawdata_r,新北市石碇區豐林里,新北市石碇區豐林里,新北市石碇區豐林里,2023-10-23 09:10:59.766025
K0102000,181132.18,2547836.71,120.328058,23.030665,新化休息站(福爾摩沙高速公路),poi_rawdata_r,臺南市新化區東榮里,臺南市新化區東榮里,臺南市新化區東榮里,2023-10-23 09:10:59.766025
H0300005,197499.73,2507141.81,120.489125,22.663765,家樂福,poi_rawdata_r,屏東縣屏東市一心里1鄰台糖街3號,屏東縣屏東市臺糖街3號,屏東縣屏東市臺糖街3號,2023-10-23 09:06:50.455278
H0300001,313883.83,2772148.75,121.633169,25.056172,COSTCO,poi_rawdata_r,新北市汐止區樟樹里11鄰大同路一段158號,新北市汐止區大同路一段158號,新北市汐止區大同路一段158號,2023-10-23 09:06:50.455278
H0300005,210857.73,2675448.34,120.61473,24.183942,家樂福,poi_rawdata_r,臺中市西屯區福林里28鄰臺灣大道四段1086號,臺中市西屯區臺灣大道四段1086號,臺中市西屯區臺灣大道四段1086號,2023-10-23 09:06:50.455278
G0700001,302139.99,2770009.26,121.516696,25.037307,國家圖書館,poi_rawdata_r,臺北市中正區建國里4鄰中山南路20號,臺北市中正區中山南路20號,臺北市中正區中山南路20號,2023-10-23 09:03:46.631248
B1101000,175932.63,2520814.74,120.278621,22.786429,國立空軍航空技術學院,poi_rawdata_r,高雄市岡山區後協里6鄰介壽西路198號,高雄市岡山區介壽西路198號,高雄市岡山區介壽西路198號,2023-10-23 09:00:26.335851
B1103000,283610.86,2760700.32,121.332853,24.953789,陸軍後勤訓練中心,poi_rawdata_r,新北市鶯歌區尖山里10鄰八德路99號,新北市鶯歌區八德路99號,新北市鶯歌區八德路99號,2023-10-23 09:00:26.335851
B1101000,304441.84,2774626.64,121.539689,25.078911,國立國防大學,poi_rawdata_r,臺北市中山區劍潭里北安路380號,臺北市中山區北安路380號,臺北市中山區北安路380號,2023-10-23 09:00:26.335851
