num_hash,search_dt,status_verify_yn,call_compare_w_itself_z_score_1m,call_compare_w_itself_z_score_3m,call_compare_w_itself_z_score_6m,call_compare_w_else_z_score_1m,call_compare_w_else_z_score_3m,call_compare_w_else_z_score_6m,call_total_count_in_1m_non_working_hour,call_total_count_in_6m_non_working_hour,call_total_count_in_1m_working_hour,call_total_count_in_6m_working_hour,call_total_count_out_1m_non_working_hour,call_total_count_out_6m_non_working_hour,call_total_count_out_1m_working_hour,call_total_count_out_6m_working_hour,call_total_count_1m_weekday,call_total_count_6m_weekday,call_total_count_1m_weekend,call_total_count_6m_weekend,call_qc_count_in_1m,call_qc_count_in_6m,call_qc_count_out_1m,call_qc_count_out_6m,call_zero_duration_count_in_1m,call_zero_duration_count_in_6m,call_zero_duration_count_out_1m,call_zero_duration_count_out_6m,call_total_distinct_caller_in_1m_non_working_hour,call_total_distinct_caller_in_6m_non_working_hour,call_total_distinct_caller_in_1m_working_hour,call_total_distinct_caller_in_6m_working_hour,call_total_distinct_caller_out_1m_non_working_hour,call_total_distinct_caller_out_6m_non_working_hour,call_total_distinct_caller_out_1m_working_hour,call_total_distinct_caller_out_6m_working_hour,call_total_distinct_caller_1m_weekday,call_total_distinct_caller_6m_weekday,call_total_distinct_caller_1m_weekend,call_total_distinct_caller_6m_weekend,call_qc_distinct_caller_in_1m,call_qc_distinct_caller_in_6m,call_qc_distinct_caller_out_1m,call_qc_distinct_caller_out_6m,call_zero_duration_distinct_caller_in_1m,call_zero_duration_distinct_caller_in_6m,call_zero_duration_distinct_caller_out_1m,call_zero_duration_distinct_caller_out_6m,call_non_contact_count_in_1m,call_non_contact_count_in_6m,call_non_contact_count_out_1m,call_non_contact_count_out_6m,call_non_contact_distinct_caller_in_1m,call_non_contact_distinct_caller_in_6m,call_non_contact_distinct_caller_out_1m,call_non_contact_distinct_caller_out_6m,call_foreign_count_in_1m,call_foreign_count_in_6m,call_foreign_count_out_1m,call_foreign_count_out_6m,call_foreign_count_1m_weekday,call_foreign_count_6m_weekday,call_foreign_count_1m_weekend,call_foreign_count_6m_weekend,call_duration_total_sum_in_1m_non_working_hour,call_duration_total_sum_in_6m_non_working_hour,call_duration_total_sum_in_1m_working_hour,call_duration_total_sum_in_6m_working_hour,call_duration_total_sum_out_1m_non_working_hour,call_duration_total_sum_out_6m_non_working_hour,call_duration_total_sum_out_1m_working_hour,call_duration_total_sum_out_6m_working_hour,call_duration_non_contact_sum_in_1m,call_duration_non_contact_sum_in_6m,call_duration_non_contact_sum_out_1m,call_duration_non_contact_sum_out_6m,call_duration_foreign_sum_in_1m,call_duration_foreign_sum_in_6m,call_duration_foreign_sum_out_1m,call_duration_foreign_sum_out_6m,call_duration_compare_w_itself_z_score_1m,call_duration_compare_w_itself_z_score_3m,call_duration_compare_w_itself_z_score_6m,call_duration_compare_w_itself_kurt_score_1m,call_duration_compare_w_itself_kurt_score_3m,call_duration_compare_w_itself_kurt_score_6m,call_duration_compare_w_itself_skew_score_1m,call_duration_compare_w_itself_skew_score_3m,call_duration_compare_w_itself_skew_score_6m,call_cross_section_avg_distinct_caller_8m,call_cross_section_min_distinct_caller_8m,call_cross_section_max_distinct_caller_8m,call_cross_section_leave_avg_distinct_caller_8m,call_cross_section_leave_min_distinct_caller_8m,call_cross_section_leave_max_distinct_caller_8m,call_cross_section_newin_avg_distinct_caller_8m,call_cross_section_newin_min_distinct_caller_8m,call_cross_section_newin_max_distinct_caller_8m,call_cross_section_diff_avg_distinct_caller_8m,call_cross_section_diff_min_distinct_caller_8m,call_cross_section_diff_max_distinct_caller_8m,call_cross_section_diff_change_rate_8m,call_cross_section_leave_change_rate_8m,call_cross_section_newin_change_rate_8m
a30d2a4b2b2938d7781a28013af5b7c58867aedc8795a28cef645f8d07b44087,2022-04-01,True,-0.90578145,-1.37201269,0.60948423,0.1227495,0.19971534,0.2911181,15.0,49.0,89.0,341.0,13.0,75.0,39.0,271.0,99.0,513.0,47.0,213.0,15.0,67.0,17.0,93.0,43.0,163.0,31.0,189.0,11.0,29.0,57.0,169.0,9.0,35.0,19.0,61.0,55.0,185.0,23.0,75.0,13.0,29.0,11.0,37.0,31.0,127.0,15.0,67.0,89.0,315.0,41.0,193.0,55.0,161.0,15.0,51.0,,7.0,,,,,,7.0,193.0,1665.0,1891.0,13833.0,645.0,3473.0,1629.0,13183.0,1991.0,13361.0,2203.0,12719.0,,,,,-0.4266886,-0.61206171,-0.48130628,-0.1885802,-1.84210169,1.15530782,-0.45226698,-4.21573423,1.20256433,121.34,107.0,143.0,37.0,19.0,45.0,39.4,23.0,53.0,71.4,59.0,93.0,0.57,0.28,0.3
9b2b95abc0613660aa86df9d5933d51576e874766330347f9772c5c55955bb55,2022-04-01,True,-1.69478652,-1.52817277,-2.21853021,1.33487804,2.8230715,3.94732525,47.0,305.0,327.0,2595.0,123.0,709.0,551.0,4181.0,905.0,6639.0,133.0,1141.0,113.0,753.0,363.0,2759.0,97.0,605.0,201.0,1407.0,29.0,161.0,165.0,759.0,59.0,225.0,161.0,469.0,247.0,917.0,63.0,291.0,79.0,315.0,145.0,409.0,75.0,343.0,79.0,303.0,173.0,1203.0,111.0,663.0,117.0,575.0,51.0,195.0,19.0,75.0,7.0,9.0,21.0,79.0,,,2587.0,20619.0,21955.0,143899.0,11275.0,71071.0,21595.0,257657.0,8581.0,53627.0,5805.0,59647.0,1621.0,7299.0,,81.0,-1.32094016,-1.15118443,-2.3358817,-0.85917386,-0.49505165,-1.67356282,-1.56184627,-0.30087884,-1.60961784,649.66,577.0,717.0,173.0,151.0,213.0,140.2,105.0,165.0,308.2,259.0,373.0,0.47,0.26,0.21
2cc9646bb0784a3181e1da76de63585c2e537a8ea25cc7fb7fb2e0251be57d55,2022-04-01,True,-0.95145914,-0.95577094,-1.13153723,0.01947397,0.10369708,0.17190522,7.0,19.0,35.0,265.0,25.0,47.0,13.0,175.0,61.0,439.0,9.0,57.0,11.0,43.0,13.0,91.0,27.0,155.0,9.0,67.0,7.0,15.0,35.0,197.0,9.0,17.0,11.0,65.0,39.0,219.0,9.0,43.0,11.0,31.0,9.0,45.0,25.0,125.0,9.0,37.0,35.0,241.0,29.0,163.0,33.0,187.0,11.0,55.0,,,,,,,,,,63.0,3807.0,11907.0,1277.0,1877.0,87.0,12079.0,3677.0,8939.0,1307.0,9513.0,,,,,-0.27655221,3.50067707,0.38144866,,0.38298026,0.78093151,-0.33332877,0.40185092,0.90578462,139.66,117.0,155.0,48.6,33.0,73.0,44.2,31.0,61.0,87.8,69.0,103.0,0.61,0.32,0.29
d66faf7cc914d4f27908fc8c1b3dfd71e26d23910b33465205996f0ac3fd52a1,2022-04-01,True,-0.18569534,-0.56568542,-0.85280287,-0.05934156,-0.07119333,-0.05304429,,7.0,,23.0,,7.0,7.0,35.0,,49.0,7.0,13.0,,17.0,7.0,13.0,,9.0,,27.0,,7.0,,13.0,,7.0,7.0,15.0,,17.0,7.0,9.0,,11.0,7.0,11.0,,9.0,,13.0,,25.0,7.0,33.0,,15.0,7.0,17.0,,,,,,,,,,17.0,,2193.0,,,293.0,1239.0,,2205.0,293.0,1151.0,,,,,-0.18569534,-0.4829483,-0.33278912,,,0.06103397,,,-0.6055556,22.0,13.0,39.0,11.4,,27.0,6.2,,7.0,12.6,,27.0,0.45,0.38,0.07
9a2c88fbed29e74c7ae49550386c9893641f81ee51231080b2bd4b687ae1c2e7,2022-04-01,True,,,-0.79056942,,,-0.0748136,,7.0,,9.0,,,,9.0,,15.0,,,,,,9.0,,9.0,,,,7.0,,7.0,,,,7.0,,9.0,,,,,,7.0,,9.0,,,,11.0,,7.0,,9.0,,7.0,,,,,,,,,,,,31.0,,,,135.0,,31.0,,81.0,,,,,,,-0.75882093,,,,,,-0.5,7.0,,9.0,5.8,,7.0,5.4,,7.0,6.2,,7.0,0.6,0.4,0.2
7ccb0e24d8906ed59de57e741029203923baaae2257e5b21e2f677a6c8998535,2022-04-01,True,,-0.31622777,-0.81031174,,-0.04890338,-0.03542152,,15.0,,69.0,,7.0,,15.0,,79.0,,17.0,,9.0,,11.0,,47.0,,,,15.0,,43.0,,7.0,,13.0,,51.0,,15.0,,9.0,,11.0,,33.0,,,,67.0,,11.0,,45.0,,11.0,,,,,,,,,,841.0,,471.0,,109.0,,775.0,,443.0,,287.0,,,,,,-0.31622777,-0.91329112,,0.31622777,-0.65109405,,-0.31622777,-0.75967626,31.66,7.0,57.0,11.4,,35.0,15.0,,37.0,21.4,,37.0,0.61,0.24,0.38
62082b057f786bd537349345387d301d42d98fc6562424e41bf3cc99c2c15a26,2022-04-01,True,-1.41661273,-0.7252218,2.22980356,1.29411138,1.82345278,1.46769738,67.0,193.0,457.0,1553.0,63.0,157.0,431.0,1103.0,749.0,2327.0,259.0,669.0,89.0,251.0,207.0,571.0,169.0,729.0,173.0,431.0,27.0,67.0,139.0,403.0,33.0,59.0,89.0,189.0,187.0,489.0,41.0,117.0,65.0,121.0,75.0,151.0,79.0,253.0,55.0,109.0,159.0,481.0,51.0,93.0,89.0,299.0,21.0,45.0,,,,13.0,,11.0,,7.0,1477.0,3561.0,15531.0,46589.0,1869.0,4229.0,16369.0,39197.0,7155.0,14359.0,2833.0,5165.0,,,,61.0,-0.98796429,-0.21026114,3.12052595,-0.70072882,0.63543603,0.34695034,-1.23886674,0.9621992,0.6984881,249.66,29.0,411.0,33.8,7.0,111.0,106.6,59.0,177.0,135.4,63.0,199.0,0.53,0.12,0.42
c132c65b7ba426e1164ccd02feb2f0300e46d6cbaf512974aef7be52cf430bcf,2022-04-01,True,-1.4187854,-0.62851952,-0.33264802,0.93264704,1.73086374,2.03784593,21.0,151.0,245.0,1319.0,39.0,243.0,447.0,2393.0,649.0,3419.0,93.0,677.0,59.0,333.0,257.0,1391.0,99.0,541.0,169.0,893.0,19.0,67.0,121.0,405.0,27.0,101.0,127.0,451.0,175.0,649.0,59.0,179.0,37.0,135.0,95.0,351.0,69.0,233.0,77.0,265.0,123.0,435.0,117.0,481.0,69.0,261.0,41.0,205.0,,,,,,,,,717.0,10457.0,10935.0,49899.0,2391.0,13579.0,18325.0,121051.0,3953.0,14247.0,5387.0,21977.0,,,,,-1.34501498,0.00838844,-0.28830291,-0.66020073,-0.26097222,0.32588623,-1.14181184,0.15823316,0.42770823,415.66,351.0,463.0,90.6,67.0,111.0,109.4,95.0,131.0,195.0,183.0,209.0,0.46,0.21,0.25
544b75e06d1cee9bfc7c47b7d3bcbccb16a69fda95757d7fa96e65bb2dfea9d9,2022-04-01,True,-1.18074346,-0.37966046,-0.03512197,0.11187839,0.21686146,0.30252107,19.0,59.0,57.0,333.0,31.0,79.0,41.0,287.0,101.0,619.0,37.0,129.0,15.0,57.0,33.0,177.0,45.0,219.0,27.0,119.0,19.0,35.0,43.0,181.0,27.0,61.0,31.0,177.0,87.0,341.0,19.0,65.0,15.0,55.0,29.0,133.0,35.0,125.0,23.0,83.0,49.0,293.0,51.0,295.0,43.0,177.0,41.0,193.0,,11.0,,,,11.0,,,499.0,815.0,1353.0,9047.0,1025.0,3609.0,1405.0,15283.0,1635.0,8997.0,1659.0,16043.0,,511.0,,,-0.77968051,-0.57521491,-0.39802723,-0.21890153,0.43059137,-1.46182107,-0.31547259,0.46263434,-1.39947192,204.34,167.0,229.0,67.4,49.0,81.0,61.0,43.0,79.0,123.4,103.0,151.0,0.59,0.31,0.28
86c9a4bbb3c73036c27870c01320f58e46f460ab88b105b530a111d343a8aeef,2022-04-01,True,-1.4981074,-0.88360176,-0.02034261,0.3945272,0.72610118,0.95145379,25.0,149.0,127.0,791.0,33.0,223.0,171.0,847.0,243.0,1395.0,103.0,605.0,45.0,307.0,117.0,717.0,37.0,221.0,71.0,273.0,13.0,21.0,39.0,195.0,11.0,35.0,39.0,77.0,55.0,225.0,23.0,65.0,9.0,23.0,27.0,67.0,31.0,123.0,31.0,67.0,45.0,239.0,19.0,71.0,35.0,173.0,17.0,45.0,,,,13.0,,13.0,,,1475.0,20033.0,6543.0,52697.0,2395.0,25729.0,13363.0,85285.0,869.0,4259.0,1109.0,4189.0,,,,763.0,-1.21281496,-0.91662264,-1.13883688,-0.63823405,-0.80817959,-0.91739772,-0.87036391,-0.24465185,-0.81096736,138.34,133.0,147.0,43.4,33.0,55.0,45.4,33.0,55.0,83.8,61.0,103.0,0.59,0.29,0.3
6ebd0ea99154a517d386c428ce85cfef70b07fea5333cfef76b725d1e7e57dda,2022-04-01,True,-0.18569534,-0.4125685,0.0,-0.05934156,-0.07119333,-0.07377697,,,,13.0,,,7.0,9.0,7.0,17.0,,,,7.0,7.0,9.0,,11.0,,,,,,7.0,,,7.0,7.0,7.0,9.0,,,,7.0,7.0,7.0,,7.0,,,,13.0,7.0,9.0,,7.0,7.0,7.0,,,,,,,,,,,,175.0,,,533.0,705.0,,175.0,533.0,705.0,,,,,-0.18569534,-0.41006924,5.4861277,,,,,-0.31622777,-0.5,8.34,7.0,9.0,5.8,,7.0,5.8,,7.0,6.6,,9.0,0.48,0.24,0.24
